Go.	Gå!
It's mine, not his.	Det er min, ikke hans.
It's not Christmas.	Det er ikke jul.
It's not important.	Det er lige meget.
It's not important.	Det er ikke vigtigt.
It's not our fault.	Det er ikke vores skyld.
It's not very good.	Det er ikke ret godt.
It's not very good.	Den er ikke ret god.
It's time to party.	Det er tid til at feste.
It's too dangerous!	Det er for farligt!
It's too dangerous.	Det er for farligt!
It's too dangerous.	Det er for farligt.
It's too expensive.	Det er for dyrt!
It's too expensive.	Det er for dyrt.
Keep off the grass.	Græsset må ikke betrædes.
Keep your shoes on.	Behold skoene på!
Lesson Two is easy.	Anden lektion er let.
Lesson Two is easy.	Anden lektion er nem.
Let me see some ID.	Har du noget id?
Let me see some ID.	Har du noget ID?
Let me see some ID.	Lad mig se noget ID.
Let's buy this one.	Lad os købe den her.
Let's get divorced.	Lad os blive skilt.
Let's hit the sack.	Lad os gå til køjs.
Let's move the bed.	Lad os flytte sengen.
Let's play outside.	Lad os lege udenfor.
Let's speak French.	Lad os tale fransk.
Let's take a train.	Lad os tage toget.
Let's wait and see.	Lad os vente og se.
Look at that house.	Kig på det hus.
Mars has two moons.	Mars har to måner.
Mary is Tom's wife.	Mary er Toms kone.
Mary is Tom's wife.	Mary er Toms hustru.
Mary is a bookworm.	Mary er en bogorm.
Mary is a waitress.	Mary er servitrice.
Mary was beautiful.	Mary var smuk.
Maybe Tom will win.	Måske vinder Tom.
My apples are gone.	Mine æbler er væk.
My brother is rich.	Min bror er rig.
My mother loves me.	Min mor elsker mig.
My name's Tom, too.	Mit navn er også Tom.
My nose is running.	Min næse løber.
No one was at home.	Ingen var hjemme.
Nothing went wrong.	Intet gik galt.
Nothing's going on.	Der foregår ikke noget.
Our project failed.	Vores projekt fejlede.
Perhaps it is true.	Måske er det sandt.
Please don't do it.	Lad være med at gøre det!
Please have a seat.	Værsgo at tage plads.
Please have a seat.	Vær så venlig at sætte jer.
Please take a bath.	Tag venligst et bad.
Put it on the wall.	Put det op på væggen.
Real men drink tea.	Rigtige mænd drikker te.
She always says no.	Hun siger altid nej.
She did not listen.	Hun lyttede ikke.
She does not smoke.	Hun ryger ikke.
She has seven sons.	Hun har syv sønner.
She has small feet.	Hun har små fødder.
She has sunglasses.	Hun har solbriller.
She is a sophomore.	Hun er andetårsstuderende.
She is from France.	Hun er fra Frankrig.
She is hard on him.	Hun er hård ved ham.
She is kissing him.	Hun kysser ham.
She is unconscious.	Hun er bevidstløs.
She is very pretty.	Hun er meget smuk.
She made me a cake.	Hun bagte en kage til mig.
She made me a cake.	Hun bagte mig en kage.
She needs our help.	Hun har brug for vores hjælp.
She sat next to me.	Hun sad ved siden af mig.
She speaks Chinese.	Hun taler kinesisk.
She speaks Russian.	Hun taler russisk.
She wants to dance.	Hun vil danse.
She wants to dance.	Hun ønsker at danse.
She's a sweet girl.	Hun er en sød pige.
She's an alcoholic.	Hun er alkoholiker.
She's not a doctor.	Hun er ikke læge.
She's thirty-three.	Hun er treogtredive.
Speak for yourself.	Tal for dig selv.
Stop. That tickles.	Hold op! Det kilder!
Stop. That tickles.	Hold op! Det kildrer!
Take what you want.	Tag hvad du vil have.
Take what you want.	Tag hvad du ønsker.
That can't be true.	Det kan ikke være sandt.
That is a bus stop.	Det er et busstoppested.
That was my choice.	Det var mit valg.
That was very good.	Det var meget godt.
That's Tom's house.	Det er Toms hus.
That's how life is.	Sådan er livet.
That's my umbrella.	Det er min paraply.
That's not my wife.	Det er ikke min kone.
That's not my wife.	Det er ikke min hustru.
That's so juvenile.	Det er så barnligt.
That's the problem.	Der ligger hunden begravet!
That's the reality.	Det er virkeligheden.
That's too complex.	Det er for kompliceret.
That's what I mean.	Det er det jeg mener.
The apples are red.	Æblerne er røde.
The beach is empty.	Stranden er tom.
The clock is wrong.	Uret går forkert.
The damage is done.	Skaden er sket.
The dog is barking.	Hunden gør.
The door is locked.	Døren er låst.
The earth is round.	Jorden er rund.
The fog has lifted.	Tågen er lettet.
The fuse has blown.	Sikringen er sprunget.
The game is rigged.	Spillet var aftalt på forhånd.
The gates are open.	Portene er åbne.
The ice is melting.	Isen smelter.
The old dog barked.	Den gamle hund gøede.
The paper is white.	Papir er hvidt.
The paper is white.	Papiret er hvidt.
The server is down.	Serveren er nede.
The snow is melted.	Sneen er smeltet.
The spider is dead.	Edderkoppen er død.
The story was true.	Historien var sand.
The summer is over.	Sommeren er forbi.
The summer is over.	Sommeren er ovre.
The summer is over.	Sommeren er omme.
The sun is shining.	Solen skinner!
The thief ran away.	Tyven løb væk.
The tire leaks air.	Dækket taber luft.
The water is clean.	Vandet er rent.
The waves are high.	Bølgerne er høje.
The woman is ready.	Kvinden er parat.
The wood is rotten.	Træet er råddent.
There's a big hole.	Der er et stort hul.
There's no way out.	Der er ingen udvej.
These are my pants.	De her er mine bukser.
These are my pants.	Disse er min bukser.
These dogs are big.	Disse hunde er store.
They all can drive.	De kan alle køre.
They don't like me.	De kan ikke lide mig.
They kept drinking.	De fortsatte med at drikke.
They must be happy.	De må være lykkelige.
They spoke briefly.	De talte kort.
They won't find it.	De finder den ikke.
They won't find it.	Det vil de ikke finde.
They work at night.	De arbejder om natten.
They work too much.	De arbejder for meget.
They're tough guys.	De er nogle barske fyre.
They're tough guys.	De er nogle hårde fyre.
They're tough guys.	De er nogle bisser.
Think for yourself.	Tænk selv.
This book is small.	Denne bog er lille.
This is a hospital.	Dette er et hospital.
This is a hospital.	Dette er et sygehus.
This is all I know.	Dette er alt hvad jeg ved.
This is good sushi.	Dette er en god sushi.
This is impossible.	Det er umuligt.
This is impossible.	Dette er umuligt.
This is just water.	Det er bare vand.
This is my bicycle.	Dette er min cykel.
This is my brother.	Det er min bror.
This is news to me.	Det er nyt for mig.
This is not enough.	Det er ikke nok.
This is so amazing.	Det er så fantastisk.
This is very salty.	Det her er meget salt.
This pencil is red.	Denne blyant er rød.
Tie your shoelaces.	Bind dine snørebånd.
Tom asked Mary out.	Tom inviterede Mary ud.
Tom bought a paper.	Tom købte en avis.
Tom bought a table.	Tom købte et bord.
Tom broke his nose.	Tom brækkede næsen.
Tom called in sick.	Tom meldte sig syg.
Tom can't eat pork.	Tom kan ikke spise svinekød.
Tom can't help you.	Tom kan ikke hjælpe dig.
Tom cut his finger.	Tom skar sin finger.
Tom didn't like me.	Tom kunne ikke lide mig.
Tom died in a fire.	Tom døde i en brand.
Tom died last year.	Tom døde sidste år.
Tom died of typhus.	Tom døde af tyfus.
Tom freed the bird.	Tom slap fuglen fri.
Tom had a headache.	Tom havde hovedpine.
Tom has a cool job.	Tom har et sejt job.
Tom has a passport.	Tom har et pas.
Tom has brown hair.	Tom har brunt hår.
Tom has three cats.	Tom har tre katte.
Tom has three dogs.	Tom har tre hunde.
Tom has three sons.	Tom har tre sønner.
Tom has tiny hands.	Tom har små hænder.
Tom hates his name.	Tom hader sit navn.
Tom hugged his dog.	Tom krammede sin hund.
Tom is Mary's hero.	Tom er Marys helt.
Tom is a beekeeper.	Tom er biavler.
Tom is a good cook.	Tom er en god kok.
Tom is a grown man.	Tom er en voksen mand.
Tom is a hypocrite.	Tom er en hykler.
Tom is a real nerd.	Tom er en rigtig nørd.
Tom is an engineer.	Tom er ingeniør.
Tom is dumbfounded.	Tom er lamslået.
Tom is in his room.	Tom er på sit værelse.
Tom is really cool.	Tom er rigtig cool.
Tom is really cool.	Tom er rigtig sej.
Tom is right there.	Tom er lige der.
Tom is still there.	Tom er der stadig.
Tom is sure to win.	Tom vil helt sikkert vinde.
Tom is sure to win.	Tom er sikker på at vinde.
Tom is very polite.	Tom er meget høflig.
Tom is watching TV.	Tom ser fjernsyn.
Tom is watching TV.	Tom ser tv.
Tom is watching TV.	Tom ser TV.
Tom isn't Canadian.	Tom er ikke canadisk.
Tom isn't dead yet.	Tom er ikke død endnu.
Tom isn't licensed.	Tom er ikke autoriseret.
Tom isn't sleeping.	Tom sover ikke.
Tom laughed loudly.	Tom lo højt.
Tom launders money.	Tom hvidvasker penge.
Tom lives downtown.	Tom bor i den indre by.
Tom lives downtown.	Tom bor i bymidten.
Tom looks like you.	Tom ligner dig.
Tom lost his phone.	Tom mistede sin telefon.
Tom lost his phone.	Tom har mistet sin telefon.
Tom might be right.	Tom kan have ret.
Tom might be right.	Tom har muligvis ret.
Tom milked the cow.	Tom malkede koen.
Tom ordered a beer.	Tom bestilte en øl.
Tom pushed me away.	Tom skubbede mig væk.
Tom ran after Mary.	Tom løb efter Mary.
Tom ran out of gas.	Tom løb tør for benzin.
Tom remained stoic.	Tom forblev stoisk.
Tom remained stoic.	Tom tog det med ophøjet ro.
Tom salted his egg.	Tom saltede sit æg.
Tom sat next to me.	Tom sad ved siden af ​​mig.
Tom says he's rich.	Tom siger han er rig.
Tom seems generous.	Tom lader til at være generøs.
Tom seems relieved.	Tom virker lettet.
Tom sold his house.	Tom har solgt sit hus.
Tom sold his house.	Tom solgte sit hus.
Tom started to run.	Tom begyndte at løbe.
Tom teaches French.	Tom underviser i fransk.
Tom told the truth.	Tom fortalte sandheden.
Tom took the money.	Tom tog pengene.
Tom was born there.	Tom blev født der.
Tom was humiliated.	Tom blev ydmyget.
Tom was hysterical.	Tom var hysterisk.
Tom won't get away.	Tom vil ikke slippe væk.
Tom works too much.	Tom arbejder for meget.
Tom's a big coward.	Tom er en stor kujon.
Tom's cup is empty.	Toms kop er tom.
Tom's hair is long.	Toms hår er langt.
Tom's not home yet.	Tom er endnu ikke kommet hjem.
Tom's unscrupulous.	Tom er skruppelløs.
Tom's unscrupulous.	Tom er hensynsløs.
Tomorrow is Sunday.	I morgen er det søndag.
Turn the sound off.	Sluk for lyden.
We adopted a child.	Vi har adopteret et barn.
We adopted a child.	Vi adopterede et barn.
We are against war.	Vi er imod krig.
We are from France.	Vi er fra Frankrig.
We ate some apples.	Vi spiste nogle æbler.
We both were tired.	Vi var begge trætte.
We can change that.	Vi kan ændre det.
We do not know her.	Vi kender hende ikke.
We don't like rain.	Vi kan ikke lide regn.
We don't sell beer.	Vi sælger ikke øl.
We don't trust you.	Vi stoler ikke på dig.
We get it for free.	Vi får den gratis.
We get it for free.	Vi får det gratis.
We have everything.	Vi har alting.
We have three sons.	Vi har tre sønner.
We live in a house.	Vi bor i et hus.
We love each other.	Vi elsker hinanden.
We need everything.	Vi har brug for alt.
We were both tired.	Vi var begge trætte.
We're saving lives.	Vi redder liv.
We're with the CIA.	Vi kommer fra CIA.
We've gone too far.	Vi er gået for langt.
Weren't you crying?	Græd du ikke?
What a big pumpkin!	Sikken et stort græskar!
What a big pumpkin!	Sikke et stort græskar!
What a mean fellow!	Sikke en ond fyr.
What a pretty girl!	Sikke en køn pige!
What a pretty girl!	Sikke en smuk pige!
What a strange man!	Sikken en mærkelig mand!
What a strong wind!	Sikket blæsevejr!
What are you doing?	Hvad laver du?
What are you doing?	Hvad gør du?
What did Tom write?	Hvad skrev Tom?
What does Tom have?	Hvad har Tom?
What does Tom want?	Hvad vil Tom?
What don't we know?	Hvad ved vi ikke?
What happened here?	Hvad skete der her?
What happened next?	Hvad skete der så?
What is it made of?	Hvad er det lavet af?
What're you baking?	Hvad er det du bager?
What're you saying?	Hvad siger du?
What're you saying?	Hvad er det du siger?
What's Tom good at?	Hvad er Tom god til?
What's Tom wearing?	Hvad har Tom på?
What's the hold up?	Hvad skyldes trafikproblemet?
What's the problem?	Hvad er problemet?
When will you come?	Hvornår kommer du?
Where are you from?	Hvor er du fra?
Where did I put it?	Hvor har jeg lagt det?
Where did I put it?	Hvor har jeg lagt den?
Where did he do it?	Hvor gjorde han det?
Where does he live?	Hvor bor han?
Where does it hurt?	Hvor gør det ondt?
Where is the beach?	Hvor er stranden?
Where is the vodka?	Hvor er vodkaen?
Where is your coat?	Hvor er din frakke?
Where was everyone?	Hvor var alle?
Where's the coffee?	Hvor er kaffen?
Where's the toilet?	Hvor er toilettet?
Where's the toilet?	Hvor er WC'et?
Where's the toilet?	Hvor er wc'et?
Where's the toilet?	Hvor er lokummet?
Where's your hotel?	Hvor er dit hotel?
Where's your truck?	Hvor er din lastbil?
Which dog is yours?	Hvilken hund er din?
Who is that person?	Hvem er den mand?
Who took the money?	Hvem tog pengene?
Who's your teacher?	Hvem er din lærer?
Whose room is this?	Hvis værelse er dette?
Why are you crying?	Hvorfor græder du?
Why didn't he come?	Hvorfor kom han ikke?
Why is she sulking?	Hvorfor surmuler hun?
Why worry about it?	Hvorfor bekymre sig om det?
Why's everyone wet?	Hvorfor er alle våde?
You are in my seat.	Du sidder på min plads.
You broke my heart.	Du har knust mit hjerte.
You broke your arm.	Du brækkede din arm.
You can rely on me.	Du kan regne med mig.
You can smoke here.	Du kan ryge her.
You got here early.	Du kom tidligt.
You got very drunk.	Du blev meget fuld.
You have four dogs.	Du har fire hunde.
You have four dogs.	I har fire hunde.
You have no choice.	Du har ikke noget valg.
You just need help.	Du har blot brug for hjælp.
You know it's true.	Du ved at det er sandt.
You live and learn.	Man skal lære så længe man lever.
You need a new hat.	Du har brug for en ny hat.
You need to resign.	Du er nødt til at træde tilbage.
You owe me a favor.	Du skylder mig en tjeneste.
You won't be fired.	Du bliver ikke fyret.
You'll regret this.	Det kommer du til at fortryde!
You're all cowards.	I er alle krystere.
You're all cowards.	I er alle kujoner.
You're all cowards.	I er alle bangebukse.
You're not my type.	Du er ikke min type.
You're quite smart.	Du er ganske klog.
You're still green.	Du er stadig grøn.
You're still green.	Du er stadig uerfaren.
You're still young.	Du er stadigvæk ung.
You're still young.	I er stadigvæk unge.
You're unambitious.	Du er uambitiøs.
You've betrayed us.	Du har forrådt os.
You've got a fever.	Du har feber.
Your lips are blue.	Dine læber er blå.
"Trust me," he said.	»Stol på mig«, sagde han.
A dog has four legs.	En hund har fire ben.
A whale is a mammal.	En hval er et pattedyr.
Am I doing it right?	Gør jeg det rigtigt?
Answer the question.	Svar på spørgsmålet.
Answer the question.	Besvar spørgsmålet.
Are you hungry, too?	Er du også sulten?
Are you lying to me?	Lyver du over for mig?
Are you on Facebook?	Er du på Facebook?
Are you on Facebook?	Er I på Facebook?
Are you two friends?	Er I to venner?
Are you watching TV?	Ser du TV?
Are you watching TV?	Ser du tv?
Are you watching TV?	Ser du fjernsyn?
Baby lions are cute.	Løveunger er søde.
Breakfast is served.	Morgenmaden er serveret.
But I wasn't afraid.	Men jeg var ikke bange.
Can I have a second?	Har du et sekund?
Can I have some tea?	Må jeg få noget te?
Can I walk you home?	Må jeg følge dig hjem?
Can someone help me?	Er der nogen der kan hjælpe mig?
Can you drive a car?	Kan du køre bil?
Can you read French?	Kan du læse fransk?
Can your wife drive?	Kan din kone køre bil?
Change is important.	Forandring er vigtig.
Cookie needs a walk.	Cookie trænger til at blive luftet.
Could it be a virus?	Kunne det være en virus?
Could it be a virus?	Kunne det være et virus?
Did anyone phone me?	Har nogen ringet til mig?
Do you drink coffee?	Drikker du kaffe?
Do you even like me?	Kan du overhovedet lide mig?
Do you have a house?	Har du et hus?
Do you have a house?	Har De et hus?
Do you have a house?	Har I et hus?
Do you have mittens?	Har du vanter?
Do you have mittens?	Har I vanter?
Do you like my hair?	Kan du lide mit hår?
Do you like ravioli?	Kan du lide ravioli?
Do you like writing?	Kan du lide at skrive?
Do you remember Tom?	Kan du huske Tom?
Do you remember Tom?	Husker du Tom?
Do you speak French?	Taler du fransk?
Do you write poetry?	Skriver du poesi?
Does Tom have a pet?	Har Tom et kæledyr?
Does your wife work?	Arbejder din kone?
Does your wife work?	Har din kone et arbejde?
Don't get too cocky.	Bliv nu ikke for kæphøj!
Don't listen to her.	Lyt ikke til hende.
Don't make me laugh.	Få mig ikke til at le.
Don't touch my bike.	Fingrene væk fra min cykel!
Eat your vegetables.	Spis jeres grøntsager!
Enjoy your holidays.	God ferie!
Europe is in crisis.	Europa er i krise.
Every minute counts.	Hvert minut tæller.
Every seat was full.	Hvert sæde var fyldt.
Everybody's smiling.	Alle smiler.
Everybody's talking.	Alle taler.
Everyone is smiling.	Alle smiler.
Everything is ready.	Alt er parat.
Get back in the van.	Kom tilbage i bilen.
Get back in the van.	Kom tilbage i varevognen.
Give Tom his change.	Giv Tom hans byttepenge.
Give me three weeks.	Giv mig tre uger.
Give peace a chance.	Giv freden en chance.
Give peace a chance.	Giv freden en chance!
God created mankind.	Gud skabte menneskene.
Hand me that hammer.	Ræk mig den hammer.
Happy birthday, Tom.	Tillykke med fødselsdagen, Tom.
Have a good weekend.	Du må have en god weekend.
Have a good weekend.	God weekend!
Have a good weekend.	I må have en god weekend.
Have a seat, please.	Værsgo at tage plads.
Have a seat, please.	Værsågod at tage plads.
He came home at ten.	Han kom hjem ved ti-tiden.
He comes from Wales.	Han kommer fra Wales.
He commited suicide.	Han begik selvmord.
He didn't know that.	Det vidste han ikke.
He drives very fast.	Han kører meget hurtigt.
He found his master.	Han fandt sin herre.
He gave me an apple.	Han gav mig et æble.
He has a big family.	Han har en stor familie.
He has gone too far.	Han er gået for vidt.
He has ten children.	Han har ti børn.
He hates air travel.	Han hader flyrejser.
He is a good doctor.	Han er en god læge.
He is a good singer.	Han er en god sanger.
He is at his office.	Han er på sit kontor.
He is my old friend.	Han er min gamle ven.
He is playing music.	Han spiller musik.
He is very handsome.	Han er meget smuk.
He lent me 30 pesos.	Han lånte mig 30 pesos.
He lives by himself.	Han bor alene.
He treated me badly.	Han behandlede mig dårligt.
He works long hours.	Han har en lang arbejdsdag.
He wouldn't give in.	Han gav ikke efter.
He wrote one letter.	Han har skrevet et brev.
He's a chain smoker.	Han er kæderyger.
He's a ghost hunter.	Han er spøgelsesjæger.
He's afraid of dogs.	Han er bange for hunde.
He's an opera lover.	Han er operaelsker.
He's got a headache.	Han har hovedpine.
He's in for a shock.	Han vil få et chok.
He's too old for me.	Han er for gammel til mig.
Her cheeks were red.	Hendes kinder var røde.
Here is your change.	Her er dine byttepenge.
His bicycle is blue.	Hans cykel er blå.
His family loved me.	Hans familie elskede mig.
His jokes amused me.	Hans vittigheder morede mig.
His real name's Tom.	Hans rigtige navn er Tom.
Honesty is a virtue.	Ærlighed er en dyd.
How did that happen?	Hvordan gik det til?
How old is this dog?	Hvor gammel er denne hund?
How old is your cat?	Hvor gammel er din kat?
How old is your cat?	Hvor gammel er jeres kat?
Hurry up and get in.	Skynd dig at stige ind!
I almost died today.	Jeg døde næsten i dag.
I already know that.	Jeg ved det allerede.
I am a teacher, too.	Jeg er også lærer.
I am an electrician.	Jeg er elektriker.
I am eating noodles.	Jeg spiser nudler.
I am fed up with it.	Jeg har fået nok af det.
I am not an athlete.	Jeg er ikke en atlet.
I am not interested.	Jeg er ikke interesseret.
I am peeling apples.	Jeg skræller æbler.
I am picking apples.	Jeg plukker æbler.
I am playing guitar.	Jeg spiller guitar.
I am reading a book.	Jeg læser en bog.
I am reading a book.	Jeg er ved at læse en bog.
I arrived very late.	Jeg ankom meget sent.
I asked Tom to come.	Jeg bad Tom om at komme.
I asked Tom to come.	Jeg har bedt Tom om at komme.
I asked Tom to help.	Jeg bad Tom om at hjælpe.
I asked Tom to help.	Jeg har bedt Tom om at hjælpe.
I asked Tom to sing.	Jeg bad Tom synge.
I asked Tom to stay.	Jeg bad Tom om at blive.
I asked Tom to stay.	Jeg har bedt Tom om at blive.
I asked Tom to stop.	Jeg bad Tom om at holde op.
I beat him at chess.	Jeg slog ham i skak.
I beat him at chess.	Jeg har slået ham i skak.
I beat him at chess.	Jeg vandt over ham i skak.
I became a director.	Jeg blev direktør.
I believe in ghosts.	Jeg tror at der eksisterer spøgelser.
I believe in ghosts.	Jeg tror på spøgelser.
I bought many books.	Jeg har købt mange bøger.
I bought you a gift.	Jeg har købt en gave til dig.
I broke up with her.	Jeg slog op med hende.
I can come at three.	Jeg kan komme klokken tre.
I can peel an apple.	Jeg kan skrælle et æble.
I can see the light.	Jeg kan se lyset.
I can win this time.	Jeg kan vinde denne gang.
I can't eat chicken.	Jeg kan ikke spise kylling.
I can't hear a word.	Jeg kan ikke høre et ord.
I can't swim at all.	Jeg kan slet ikke svømme.
I can't swim at all.	Jeg kan overhovedet ikke svømme.
I did not know this.	Det vidste jeg ikke.
I did nothing wrong.	Jeg gjorde ikke noget forkert.
I didn't drink much.	Jeg drak ikke meget.
I didn't drink much.	Jeg har ikke drukket meget.
I didn't order fish.	Jeg har ikke bestilt fisk.
I didn't order fish.	Jeg bestilte ikke fisk.
I disagree with you.	Jeg er uenig med dig.
I do not have a cat.	Jeg har ikke en kat.
I do not read books.	Jeg læser ikke bøger.
I do not understand.	Jeg forstår ikke.
I don't belong here.	Jeg hører ikke til her.
I don't know either.	Jeg ved det heller ikke.
I don't like French.	Jeg kan ikke lide fransk.
I don't like apples.	Jeg kan ikke lide æbler.
I don't like school.	Jeg kan ikke lide at gå i skole.
I dreamed about you.	Jeg drømte om dig.
I dreamed about you.	Jeg har drømt om dig.
I eat a lot of meat.	Jeg spiser meget kød.
I got even with him.	Jeg blev kvit med ham.
I have a beer belly.	Jeg har ølmave.
I have a dictionary.	Jeg har en ordbog.
I have a high fever.	Jeg har høj feber.
I have a suggestion.	Jeg har et forslag.
I have chapped lips.	Jeg har sprukne læber.
I have lost my keys.	Jeg har mistet mine nøgler.
I have lost my keys.	Jeg har tabt mine nøgler.
I have lots of time.	Jeg har masser af tid.
I have many friends.	Jeg har mange venner.
I have two brothers.	Jeg har to brødre.
I haven't done that.	Det har jeg ikke gjort.
I haven't eaten yet.	Jeg har endnu ikke spist.
I hid under the bed.	Jeg gemte mig under sengen.
I hope Tom says yes.	Jeg håber at Tom siger ja.
I hope he will come.	Jeg håber at han vil komme.
I hope you'll agree.	Jeg håber du er enig.
I hope you're right.	Jeg håber du har ret.
I just want to rest.	Jeg vil bare hvile.
I know how to do it.	Jeg ved hvordan det skal gøres.
I know that already.	Jeg ved det allerede.
I know this is hard.	Jeg ved at det er svært.
I know this is hard.	Jeg ved at det her er svært.
I know this is hard.	Jeg ved at dette er svært.
I know what's right.	Jeg ved, hvad der er rigtigt.
I know where she is.	Jeg ved hvor hun er.
I know you're angry.	Jeg ved godt at du er vred.
I know you're right.	Jeg ved at du har ret.
I like your article.	Jeg kan lide din artikel.
I like your article.	Jeg synes om din artikel.
I love blackberries.	Jeg elsker brombær.
I love that picture.	Jeg elsker det billede.
I make €100 a day.	Jeg tjener hundrede euro om dagen.
I make €100 a day.	Jeg tjener 100 euro om dagen.
I met Tom yesterday.	Jeg mødte Tom i går.
I met him yesterday.	Jeg mødte ham i går.
I must've dozed off.	Jeg må være døset hen.
I must've forgotten.	Jeg må have glemt det.
I need a dictionary.	Jeg har brug for en ordbog.
I never drink alone.	Jeg drikker aldrig alene.
I only have one dog.	Jeg har kun en hund.
I only think of you.	Jeg tænker kun på dig.
I quit after a week.	Jeg holdt op efter en uge.
I rang the doorbell.	Jeg ringede på dørklokken.
I saw Tom on Monday.	Jeg så Tom om mandagen.
I sent you an email.	Jeg har sendt en e-mail til dig.
I shower once a day.	En gang om dagen tager jeg et brusebad.
I slept on the boat.	Jeg sov på skibet.
I slept on the boat.	Jeg sov på båden.
I slept on the boat.	Jeg har sovet på båden.
I slept on the boat.	Jeg har sovet på skibet.
I sprang out of bed.	Jeg sprang ud af sengen.
I stole Tom's money.	Jeg stjal Toms penge.
I think he is right.	Jeg tænker at han har ret.
I think he is right.	Jeg tror han har ret.
I think she is kind.	Jeg synes, at hun er venlig.
I think she is sick.	Jeg tror hun er syg.
I think they saw us.	Jeg tror de har set os.
I think they saw us.	Jeg tror de så os.
I tried to save him.	Jeg forsøgte at redde ham.
I tried to save you.	Jeg forsøgte at redde dig.
I tried to warn you.	Jeg forsøgte at advare dig.
I tried to warn you.	Jeg forsøgte at advare jer.
I turned the handle.	Jeg vendte håndtaget.
I want to come, too.	Jeg ønsker også at komme!
I wanted her to win.	Jeg ønskede at hun skulle vinde.
I was flabbergasted.	Jeg var helt paf.
I was home-schooled.	Jeg blev undervist hjemme.
I was in a bad mood.	Jeg var i dårligt humør.
I was in the shower.	Jeg var i bad.
I was totally right.	Jeg havde fuldstændig ret.
I washed the dishes.	Jeg har vasket op.
I went to bed early.	Jeg gik tidligt i seng.
I wish I could swim.	Jeg ville ønske jeg kunne svømme.
I wish I could swim.	Gid jeg kunne svømme!
I wish we had a car.	Gid vi havde en bil!
I won't do it again.	Jeg vil ikke gøre det igen.
I would've said yes.	Jeg ville have sagt ja.
I'll be right there.	Jeg er der straks.
I'll buy you a beer.	Jeg køber en øl til dig.
I'll have skim milk.	Skummetmælk til mig.
I'll let you decide.	Jeg vil lade dig vælge.
I'll need your help.	Jeg vil få brug for din hjælp.
I'll need your help.	Jeg vil få brug for jeres hjælp.
I'll pay my own way.	Jeg betaler for mig selv.
I'll return at 6:30.	Jeg kommer tilbage klokken halv syv.
I'll see you around.	Vi ses!
I'll think about it.	Jeg vil tænke over det.
I'll think about it.	Jeg vil overveje det.
I'm absolutely sure!	Jeg er helt sikker!
I'm at your service.	Jeg står til Deres tjeneste.
I'm bad at swimming.	Jeg er dårlig til at svømme.
I'm counting on you.	Jeg regner med dig.
I'm drinking coffee.	Jeg drikker kaffe.
I'm eating an apple.	Jeg spiser et æble.
I'm faster than you.	Jeg er hurtigere end dig.
I'm fed up with her.	Jeg er træt af hende.
I'm going there now.	Jeg går derhen nu.
I'm indebted to you.	Jeg står i gæld til dig.
I'm learning French.	Jeg er ved at lære fransk.
I'm not that hungry.	Så sulten er jeg ikke.
I'm not your father.	Jeg er ikke din far.
I'm not your friend.	Jeg er ikke din ven.
I'm not your friend.	Jeg er ikke jeres ven.
I'm not your mother.	Jeg er ikke din mor.
I'm practising judo.	Jeg udøver judo.
I'm practising judo.	Jeg træner judo.
I'm resting my legs.	Jeg hviler benene.
I'm right, aren't I?	Jeg har ret, ikke sandt?
I'm taller than him.	Jeg er højere end ham.
I'm too old for you.	Jeg er for gammel til dig.
I've been in Boston.	Jeg har været i Boston.
I've got a headache.	Jeg har hovedpine.
Is Tom still asleep?	Sover Tom stadig?
Is it a yes or a no?	Er det et ja eller et nej?
Is my laundry ready?	Er mit vasketøj klar?
Is that a submarine?	Er det en ubåd?
Is that a yes or no?	Er det et ja eller et nej?
Is that radio yours?	Er det din radio?
Is this good French?	Er dette godt fransk?
Is this your helmet?	Er dette din hjelm?
Is this your locker?	Er dette dit skab?
It happened so fast.	Det skete så hurtigt.
It is only too true.	Det er kun alt for sandt.
It is too expensive.	Det er for dyrt!
It is too expensive.	Det er for dyrt.
It isn't hard to do.	Det er ikke vanskeligt at gøre.
It isn't impossible.	Det er ikke umuligt.
It may rain tonight.	Det regner måske i aften.
It may rain tonight.	Det vil måske regne i aften.
It may rain tonight.	Det vil måske regne i nat.
It may rain tonight.	Det regner måske i nat.
It must've been Tom.	Det må have været Tom.
It pays to tip well.	Den der smører godt, kører godt.
It rained yesterday.	Det regnede i går.
It rained yesterday.	I går regnede det.
It was a nice story.	Det var en god historie.
It was all worth it.	Det var det hele værd.
It was confidential.	Det var fortroligt.
It wasn't important.	Det var ikke vigtigt.
It's a fact of life.	Det er en af livets realiteter.
It's as cold as ice.	Det er iskoldt.
It's free of charge.	Det er gratis.
It's getting cloudy.	Det er ved at blive skyet.
It's mine, not hers.	Det er min, ikke hendes.
It's mine, not hers.	Det er mit, ikke hendes.
It's my only chance.	Det er min eneste chance.
It's never too late.	Det er aldrig for sent.
It's not impossible.	Det er ikke umuligt.
It's not your fault.	Det er ikke din skyld.
It's only a scratch.	Det er kun en skramme.
It's only a scratch.	Det er bare en skramme.
It's really snowing.	Det sner kraftigt.
It's totally normal.	Det er helt normalt.
It's very cold here.	Det er meget koldt her.
It's very dangerous.	Det er meget farligt.
It's very expensive.	Det er meget dyrt!
Jupiter is a planet.	Jupiter er en planet.
Just tell the truth.	Sig bare sandheden.
